3	1.5	203	222	218	10
5	2.5	45	33	52	10
10	5	26	30	33	10
12.5	6.25	33	29	37	10
15	7.5	48	40	31	10
17.5	8.75	150	123	141	10
20	10	747	731	693	10
22.5	11.25	984	1029	1012	10
25	12.5	1167	1172	1237	10
27.5	13.75	1114	1125	1114	10
30	15	1135	1078	1123	10
32.5	16.25	1066	1115	1095	10
35	17.5	953	937	940	10
37	18.5	816	814	868	10
37.5	18.75	866	897	957	10
38	19	905	935	878	10
38.5	19.25	1052	1014	1015	10
39	19.5	1948	1964	1914	10
39.5	19.75	2650	2645	2703	10
40	20	2922	2934	2875	10
40.5	20.25	2931	2959	2963	10
41	20.5	1993	1897	1945	10
41.5	20.75	1156	1210	1229	10
42	21	1057	1055	986	10
42.5	21.25	1260	1238	1242	10
42.5	21.25	1260	1245	1275	10
43	21.5	1834	1900	1937	10
43.5	21.75	3173	3075	3129	10
44	22	7596	7667	7652	10
44.5	22.25	8645	8572	8539	10
45	22.5	9123	8959	9101	10
45	22.5	8964	8871	8951	10
45.5	22.75	6601	6706	6654	10
46	23	2173	2170	2274	10
46.5	23.25	654	641	634	10
47	23.5	438	424	464	10
47.5	23.75	423	450	461	10
50	25	344	317	336	10
52.5	26.25	260	269	275	10
55	27.5	200	215	206	10
57.5	28.75	195	195	164	10
60	30	172	162	155	10
62.5	31.25	157	168	175	10
65	32.5	148	130	123	10
67.5	33.75	141	136	135	10
70	35	124	147	130	10
72.5	36.25	116	125	123	10
75	37.5	115	132	123	10
77.5	38.75	118	131	137	10
80	40	120	109	126	10
82.5	41.25	111	109	108	10
83	41.5	103	117	128	10
83.5	41.75	117	115	117	10
84	42	103	104	107	10
84.5	42.25	102	106	115	10
85	42.5	157	126	149	10
85	42.5	132	123	121	10
85.5	42.75	168	155	146	10
86	43	218	205	215	10
86.5	43.25	283	302	309	10
87	43.5	340	305	320	10
87.5	43.75	338	326	326	10
87.5	43.75	339	287	310	10
88	44	165	166	166	10
88.5	44.25	126	106	100	10
90	45	121	115	124	10
92.5	46.25	129	117	117	10
95	47.5	102	105	106	10
95.5	47.75	115	102	107	10
96	48	113	104	102	10
96.5	48.25	108	121	134	10
97	48.5	138	123	143	10
97.5	48.75	223	221	211	10
97.5	48.75	182	206	161	10
98	49	373	333	340	10
98.5	49.25	683	681	681	10
99	49.5	1029	1070	1028	10
99.5	49.75	1128	1250	1250	10
100	50	849	789	882	10
100	50	761	832	775	10
100.5	50.25	257	256	277	10
101	50.5	130	128	139	10
101.5	50.75	109	105	94	10
102	51	78	92	101	10
102.5	51.25	105	105	102	10
105	52.5	102	105	106	10
107.5	53.75	111	91	111	10
110	55	133	134	138	10
112.5	56.25	147	140	153	10
115	57.5	175	168	179	10
117.5	58.75	203	195	201	10
120	60	225	241	222	10
122.5	61.25	246	240	240	10
125	62.5	258	260	257	10
